"filename", "language", "JSON", "Log", "C#", "HLSL", "ShaderLab", "XML", "comment", "blank", "total"
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assembly-CSharp-Editor.csproj", "XML", 0, 0, 0, 0, 0, -682, -7, -1, -690
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assembly-CSharp-firstpass.csproj", "XML", 0, 0, 0, 0, 0, -664, -7, -1, -672
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assembly-CSharp.csproj", "XML", 0, 0, 0, 0, 0, -734, -7, -1, -742
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Editor\MultiplayersBuildAndRun.cs", "C#", 0, 0, -40, 0, 0, 0, 0, -18, -58
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\GameAssets\Beautiful Progress Bar Free - CYKO\Scripts\SliderScripts.cs", "C#", 0, 0, -17, 0, 0, 0, 0, -6, -23
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\JsonDotNet\link.xml", "XML", 0, 0, 0, 0, 0, -6, -1, 0, -7
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Prefabs\LobbyPanel\PlayerPrefab.cs", "C#", 0, 0, -23, 0, 0, 0, 0, -6, -29
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Prefabs\LobbyPanel\RoomButtonPrefab.cs", "C#", 0, 0, -97, 0, 0, 0, -13, -25, -135
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Prefabs\LobbyPanel\thisPlayerPrefab.cs", "C#", 0, 0, -11, 0, 0, 0, 0, -4, -15
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Prefabs\RoomPanel\InvPanel_P.cs", "C#", 0, 0, -59, 0, 0, 0, -2, -14, -75
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Prefabs\RoomPanel\PlayerPanel_H.cs", "C#", 0, 0, -12, 0, 0, 0, 0, -3, -15
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Prefabs\RoomPanel\PlayerPanel_P.cs", "C#", 0, 0, -12, 0, 0, 0, 0, -3, -15
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Custom-Atlas.shader", "ShaderLab", 0, 0, 0, 0, -109, 0, -2, -33, -144
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Mobile.shader", "ShaderLab", 0, 0, 0, 0, -112, 0, -3, -31, -146
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\TextMesh Pro\Shaders\TMP_Bitmap.shader", "ShaderLab", 0, 0, 0, 0, -109, 0, -2, -33, -144
